id,number,title,office_marker_info,official_url,description,county,location_info,latitude,longitude,created_at,updated_at
1,1,Empire and the Carson River Mills,<p>CENTENNIAL MARKER No. 1</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/1,"<p>When the Comstock Lode was discovered in 1859, the problem of reducing the ore from the fabulously rich Virginia City mines had to be solved.  Mills were built in Gold Canyon and Six Mile Canyon, in Washoe Valley, at Dayton, and on the Carson River which offered the most abundant source of water to operate the mills.</p><p>On the east shore of the river near the town of Empire the first small mill, built in 1860, was later enlarged to become the Mexican.  The site of this mill lies to the southwest.  Other large mills were then constructed farther downstream, spurring the growth of the town of Empire.  Ore was hauled to the mills at first by wagon and later by the famous Virginia and Truckee Railroad built in 1869.  Fortunes in gold and silver were produced in over 40 years of operation by the Carson River mills including the Mexican, Yellow Jacket, Brunswick, Merrimac, Vivian, and Santiago.  Traces of Empire and its mills can still be seen today.</p>",Carson City," Carson River Basin, Dayton Valley, Carson River below Carson City. Located along U.S. Highway 40 4 miles east of Carson City.",39.1876,-119.7061,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
2,2,Pioneer Memorial Park,<p>CENTENNIAL MARKER No. 2</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/2,"<p>This part of the Pioneer Cemetery includes the last resting place of Frank Baud and other of the pioneers who founded Winnemucca, earlier known as French Ford. Baud arrived in 1863 and is one of the men credited with naming the town Winnemucca after the famous Northern Paiute chieftain.</p><p>Baud came with Louis Lay from California to work on the Humboldt canal, a project headed by Dr. A. Gintz and Joseph Ginaca who devised the plan to link Golconda and Mill City by means of a 90-mile canal and provide water for the mills in the area.  It was never completed.  Baud later became a merchant, helped build the Winnemucca Hotel with Louis and Theophile  Lay, was the first postmaster, and gave the town a schoolhouse before his death in 1868.</p>",Humboldt," Humboldt River Basin, Humboldt County Located in Winnemucca, Nevada.",39.11144,-119.42229,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
3,3,West End of Hastings Cutoff,<p>CENTENNIAL MARKER No. 3</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/3,"<p>Across the Humboldt Valley southward from this point a deeply incised canyon opens into a valley.  Through that canyon along the South Fork of the Humboldt River ran the disaster-laden route called the Hastings Cutoff.  It joined the regular Fort Hall route running on both sides of the Humboldt here.</p><p>The canyon was first traversed in 1841 by the Bartleson-Bidwell Party, the earliest organized California emigrant group.  In 1846, Lansford Hastings guided a party through this defile of the South Fork and out along the Humboldt.  The ill-fated Reed Donner Party followed later the same year.</p><p>By 1850, the dangers of the cutoff route were recognized and it was abandoned.</p>",Elko," Humboldt River Basin, Elko County. Located on Interstate Highway 80, ten miles west of Elko at Hunter Interchange.",40.76607,-115.91984,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
4,4,Junction House First Settlement,<p>CENTENNIAL MARKER No. 4</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/4,"<p>One of the busiest crossroads of pioneer Nevada converged at this point, serving many major toll roads of the area.  The earliest emigrants from the east crossed through Truckee Meadows at this point, and by 1853, the intersection was known as Junction House, was the first permanent settlement in this valley and a stopping place for thousands.</p><p>Junction House, later called Andersons, was a station for toll roads of the 1860s including the turnpike to Washoe City, the Myron Lake Road to Oregon, the Geiger Road to Virginia City and the important Henness Pass route to California.</p><p>Governor Sparks bought the property in the late 1890s, and most recently it belonged to cattleman William Moffat.</p>",Washoe,"Truckee River Basin, Washoe CountyLocated at the intersection of South Virginia Street and Peckham Lane in south Reno.",39.29329,-119.47685,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
5,5,Pioche,<p>CENTENNIAL MARKER No. 5</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/5,"<p>Silver ore was discovered in this range of mountains in 1864, but no important development took place until 1869 when mines were opened and the town of Pioche was founded.  Pioche soon became the scene of a wild rush of prospectors and fortune seekers. It gained a reputation in the 1870s for tough gunmen and bitter lawsuits.  Miners had retrieved over five million dollars in ore by 1872, but by 1900, Pioche was nearly a ghost town.</p><p>Designated as the seat of Lincoln County in 1871, Pioche survived hard times as a supply and government center for a vast area.  Beginning in 1937, Pioche enjoyed two decades of profitable lead-zinc mining.</p>",Lincoln," Colorado River Basin, Lincoln County. Located on U.S. Highway 93 Alternate in Pioche, Nevada.",37.55604,-114.26953,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
6,6,El Dorado Canyon,<p>CENTENNIAL MARKER No. 6</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/6,"<p>HEAD OF STEAMBOAT NAVIGATION IN NEVADA</p><p>Eldorado Canyon, the site of a mining boom, runs east from here to the Colorado River.  Prospectors began digging for gold and silver here about 1859, forming the Colorado Mining District.  The three largest mines, the Techatticup, Wall Street, and El Dorado Rand Group, yielded over $6,000,000.</p><p>This portion of the Colorado River was navigable before the construction of Hoover Dam, allowing steamboats and barges to freight goods 350 miles from the Gulf of California to the mouth of Eldorado Canyon and upriver. The steamboat era peaked in the 1860s but continued to the turn of the twentieth century.</p><p>In 1867, the US. Army established an outpost at Eldorado Canyon to secure the riverboat freight and to protect miners in the canyon from Native Americans.  The military abandoned the camp in 1869.  In the 1870s the mines flourished again, producing ore until World War II.</p>",Clark," Colorado River Basin, Clark County Located on U.S. Highway 95 near Nelson, Nevada.",35.42587,-114.49605,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
7,7,Dayton,<p>CENTENNIAL MARKER No. 7</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/7,"<p>Dayton, one of the earliest settlements in Nevada, was first known as a stopping place on the river for California–bound pioneers.  Coming in from the desert, they rested here before continuing westward.</p><p>In 1849, Abner Blackburn found a gold nugget at the mouth of Gold Canyon and prospecting began in the canyon to the north.  Ten years later, this led to the discovery of the fabulous ore deposits at Gold Hill and Virginia City.</p><p>Called by several different names in its early years, the place became Dayton in 1861, named in honor of John Day who laid out the town.</p><p>For many decades Dayton prospered as a mill and trading center. It remained the county seat for Lyon County until 1911.</p>",Lyon," Carson River Basin, Lyon County Located on U.S. Highway 50 at Dayton, Nevada.",39.14106,-119.35217,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
8,8,Austin,<p>CENTENNIAL MARKER No. 8</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/8,"<p>Austin sprang into being after William Talcott discovered silver at this spot on May 2, 1862.  Talcott came from Jacobsville, a stage stop six miles to the west on the Reese River. He was hauling wood out of Pony Canyon, directly below, when he made the strike that set off the famous “Rush to Reese.”</p><p>A town called Clifton flourished briefly in Pony Canyon but fast growing Austin soon took over and became the Lander County seat in 1863. Before the mines began to fail in the 1880s Austin was a substantial city of several thousand people.  From Austin, prospectors fanned out to open many other important mining camps in the Great Basin.</p>",Lander," Humboldt River Basin, Lander County. Located on U.S. Highway 50 in Austin, Nevada.",39.299,-119.04716,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
9,9,Copper Country,<p>CENTENNIAL MARKER No. 9</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/9,"<p>The famed open-pit copper mines of eastern Nevada, including the Liberty Pit, largest in the state, are located two miles south of this point.  Through the first half of the twentieth century, this area produced nearly a billion dollars in copper, gold, and silver.  The huge mounds visible from here are waste rock, which was removed to uncover the ore.</p><p>Two miles east of here, near Lane City, was the Elijah, the first mine discovered in the Robinson Mining District.  Lane City, originally called Mineral City, was settled in 1869 and had a population of 400.  At Mineral City was the Ragsdale Station, one hotel, and a stage station.</p>",White Pine," Central Region, White Pine County Located on U.S. Highway 50 west of Ely.",39.28361111111111,-114.96425,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
10,10,Sand Mountain,<p>CENTENNIAL MARKER No. 10</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/10,"<p>Sand Mountain dominates the Salt Wells Basin and is visible from Mt. Rose peak in the Carson Range 82 miles to the west. The dune is important to off highway vehicle enthusiasts, biologists, Native Americans, and geologists.  Sand Mountain is a sinuous transverse dune derived from Ice Age Lake Lahontan beach sands piled here by southwesterly-trending winds. The dune is the Stillwater Northern Paiutes’ Panitogogwa, a giant rattlesnake traveling to the northeast with the wind to its back. The snake can be heard as it moves toward its hole, a phenomenon geologists associate with “singing” sand dunes. The Sand Mountain blue butterfly is only found here where it is depends on the Kearney buckwheat plant. The dunes clearly marked the location of nearby Sand Springs, improved and mapped in 1859 as a potential emigrant stop by Army Lieutenant James H. Simpson. Sand Springs later served as the location of the Sand Springs Pony Express Station in 1860 and the terminus of the 1866 Fort Churchill and Sand Springs Toll Road.</p>",Churchill," Carson River Basin, Churchill County. Located along U.S. Highway 50, twenty miles east of Fallon, Nevada.",39.27513888888889,-118.41338888888889,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
